ticker,entry_date,exit_date,score,threshold,entry_price,exit_price,return_pct,target_hit,holding_days
AIRJ,2024-12-17,2026-07-06,1.0,1.0,10.19,4.95,-51.42,False,385
ALEC,2025-11-06,2026-07-06,1.0,1.0,1.3,1.94,49.23,False,163
ASST,2024-04-18,2025-05-08,1.0,1.0,40.3,161.2,300.0,True,264
ASST,2025-10-07,2026-07-06,1.0,1.0,42.0,13.11,-68.79,False,185
ASST,2025-11-06,2026-07-06,1.0,1.0,29.0,13.11,-54.79,False,163
BETR,2023-12-28,2026-07-06,1.0,1.0,43.0,29.63,-31.09,False,629
BKKT,2025-08-21,2025-09-30,1.0,1.0,7.95,31.8,300.0,True,27
BULL,2025-05-13,2026-07-06,1.0,1.0,13.99,7.21,-48.46,False,286
BYND,2026-05-06,2026-07-06,1.0,1.0,1.04,0.734,-29.42,False,40
CATX,2024-12-10,2026-07-06,1.0,1.0,3.65,3.61,-1.1,False,390
CD,2026-06-26,2026-07-06,1.0,1.0,4.79,4.29,-10.44,False,5
FFAI,2024-08-23,2026-07-06,1.0,1.0,7.23,0.245,-96.61,False,465
FFAI,2025-07-23,2026-07-06,1.0,1.0,2.74,0.245,-91.06,False,238
HURA,2024-10-04,2026-07-06,1.0,1.0,7.385,2.36,-68.04,False,436
HURA,2025-07-21,2026-07-06,1.0,1.0,2.55,2.36,-7.45,False,240
PNBK,2026-03-23,2026-07-06,1.0,1.0,1.45,1.24,-14.48,False,71
QXO,2024-07-08,2026-07-06,1.0,1.0,49.09,15.81,-67.79,False,499
RR,2024-12-18,2025-01-06,1.0,1.0,1.24,4.96,300.0,True,11
SPWR,2024-07-12,2026-07-06,1.0,1.0,1.75,0.6,-65.71,False,495
TEAD,2026-02-27,2026-07-06,1.0,1.0,0.856,0.899,5.02,False,87
ACRS,2024-07-17,2026-06-30,0.9509,0.95,1.32,5.28,300.0,True,489
AIRJ,2024-12-17,2026-07-06,1.0,0.95,10.19,4.95,-51.42,False,385
AISP,2024-12-09,2026-07-06,0.9846,0.95,3.36,2.17,-35.42,False,391
ALEC,2025-11-06,2026-07-06,1.0,0.95,1.3,1.94,49.23,False,163
ASST,2024-04-18,2025-05-08,1.0,0.95,40.3,161.2,300.0,True,264
ASST,2025-10-07,2026-07-06,1.0,0.95,42.0,13.11,-68.79,False,185
ASST,2025-11-06,2026-07-06,1.0,0.95,29.0,13.11,-54.79,False,163
BETR,2023-12-26,2026-07-06,0.9514,0.95,35.1,29.63,-15.58,False,631
BKKT,2025-08-12,2025-10-02,0.9696,0.95,9.38,37.52,300.0,True,36
BNED,2024-12-26,2026-07-06,0.9621,0.95,10.41,11.47,10.18,False,379
BULL,2025-05-13,2026-07-06,1.0,0.95,13.99,7.21,-48.46,False,286
BULL,2025-10-15,2026-07-06,0.9606,0.95,11.61,7.21,-37.9,False,179
BYND,2026-04-22,2026-07-06,0.9723,0.95,1.1,0.734,-33.27,False,50
BZAI,2025-10-15,2026-07-06,0.9934,0.95,6.29,1.37,-78.22,False,179
CATX,2024-12-09,2026-07-06,0.9967,0.95,3.77,3.61,-4.24,False,391
CD,2026-06-26,2026-07-06,1.0,0.95,4.79,4.29,-10.44,False,5
CURV,2026-03-20,2026-07-06,0.9884,0.95,1.6,1.81,13.12,False,72
FDMT,2025-08-04,2026-07-06,0.9576,0.95,5.24,12.72,142.75,False,230
FFAI,2024-08-22,2026-07-06,0.9715,0.95,8.04,0.245,-96.95,False,466
FFAI,2025-07-22,2026-07-06,0.9657,0.95,2.94,0.245,-91.67,False,239
HURA,2024-09-30,2026-07-06,0.979,0.95,6.825,2.36,-65.42,False,440
HURA,2025-07-18,2026-07-06,0.9959,0.95,2.62,2.36,-9.92,False,241
JBIO,2025-10-23,2026-07-06,0.9545,0.95,9.93,21.3,114.5,False,173
JBIO,2026-04-02,2026-07-06,0.9572,0.95,15.49,21.3,37.51,False,63
KROS,2025-11-04,2026-07-06,0.9724,0.95,15.55,11.03,-29.07,False,165
KULR,2025-07-02,2026-07-06,0.9575,0.95,6.57,3.92,-40.33,False,252
LUNG,2025-11-11,2026-07-06,0.9767,0.95,2.09,1.48,-29.19,False,160
NGNE,2024-12-13,2026-07-06,0.9707,0.95,23.51,32.56,38.49,False,387
PNBK,2026-03-20,2026-07-06,0.9604,0.95,1.42,1.24,-12.68,False,72
QXO,2024-07-08,2026-07-06,1.0,0.95,49.09,15.81,-67.79,False,499
QXO,2025-04-15,2026-07-06,0.9587,0.95,14.52,15.81,8.88,False,305
RR,2024-12-17,2025-01-06,0.9535,0.95,1.23,4.92,300.0,True,12
RR,2025-01-22,2026-07-06,0.9604,0.95,3.23,2.09,-35.29,False,363
SPWR,2024-07-08,2026-07-06,0.9556,0.95,1.48,0.6,-59.46,False,499
TEAD,2026-02-18,2026-07-06,0.987,0.95,0.805,0.899,11.68,False,94
UPB,2026-02-26,2026-07-06,0.9847,0.95,7.9,7.4,-6.33,False,88
ACRS,2024-07-08,2024-11-19,0.9142,0.9,1.27,5.08,300.0,True,95
AIRJ,2024-12-17,2026-07-06,1.0,0.9,10.19,4.95,-51.42,False,385
AIRJ,2025-01-16,2026-07-06,0.9025,0.9,8.75,4.95,-43.43,False,366
AISP,2024-11-25,2026-07-06,0.9223,0.9,2.73,2.17,-20.51,False,400
ALEC,2025-11-04,2026-07-06,0.9014,0.9,1.32,1.94,46.97,False,165
ASST,2024-04-08,2025-05-08,0.906,0.9,39.0,156.0,300.0,True,272
ASST,2024-06-18,2025-05-08,0.9014,0.9,40.0,160.0,300.0,True,222
ASST,2025-09-30,2026-07-06,0.926,0.9,50.0,13.11,-73.78,False,190
ASST,2025-10-30,2026-07-06,1.0,0.9,24.2,13.11,-45.83,False,168
BETR,2023-12-22,2026-07-06,0.9195,0.9,31.95,29.63,-7.26,False,632
BIOA,2025-09-24,2026-01-14,0.9202,0.9,5.31,21.24,300.0,True,77
BIOA,2025-10-24,2026-07-06,0.941,0.9,7.6,24.84,226.84,False,172
BKKT,2025-08-12,2025-10-02,0.9696,0.9,9.38,37.52,300.0,True,36
BNED,2024-12-03,2026-07-06,0.9168,0.9,11.24,11.47,2.05,False,395
BNED,2025-01-02,2026-07-06,0.9513,0.9,10.16,11.47,12.89,False,375
BRBS,2024-07-17,2026-07-06,0.9303,0.9,2.2773,3.53,55.01,False,492
BULL,2025-04-28,2026-07-06,0.9193,0.9,15.445,7.21,-53.32,False,297
BULL,2025-05-28,2026-07-06,1.0,0.9,13.22,7.21,-45.46,False,276
BULL,2025-10-13,2026-07-06,0.9023,0.9,11.74,7.21,-38.59,False,181
BYND,2026-04-21,2026-07-06,0.9457,0.9,1.045,0.734,-29.76,False,51
BZAI,2025-08-14,2026-07-06,0.9052,0.9,3.78,1.37,-63.76,False,222
BZAI,2025-10-15,2026-07-06,0.9934,0.9,6.29,1.37,-78.22,False,179
CATX,2024-12-09,2026-07-06,0.9967,0.9,3.77,3.61,-4.24,False,391
CD,2026-06-24,2026-07-06,0.9273,0.9,4.73,4.29,-9.3,False,7
CRNC,2024-11-21,2025-01-06,0.9082,0.9,5.83,23.32,300.0,True,29
CURV,2026-03-20,2026-07-06,0.9884,0.9,1.6,1.81,13.12,False,72
DNUT,2025-10-27,2026-07-06,0.9011,0.9,4.16,3.48,-16.35,False,171
FBYD,2024-07-02,2026-07-06,0.9006,0.9,7.9167,19.82,150.36,False,502
FDMT,2025-08-01,2026-07-06,0.9062,0.9,6.42,12.72,98.13,False,231
FFAI,2024-08-22,2026-07-06,0.9715,0.9,8.04,0.245,-96.95,False,466
FFAI,2025-07-22,2026-07-06,0.9657,0.9,2.94,0.245,-91.67,False,239
HURA,2024-09-27,2026-07-06,0.9392,0.9,7.175,2.36,-67.11,False,441
HURA,2025-06-27,2026-07-06,0.9046,0.9,2.22,2.36,6.31,False,255
JBIO,2025-10-16,2026-07-06,0.9034,0.9,9.785,21.3,117.68,False,178
JBIO,2025-11-17,2026-07-06,0.9318,0.9,12.59,21.3,69.18,False,156
JBIO,2026-04-02,2026-07-06,0.9572,0.9,15.49,21.3,37.51,False,63
KROS,2025-11-04,2026-07-06,0.9724,0.9,15.55,11.03,-29.07,False,165
KRRO,2026-07-06,2026-07-06,0.9138,0.9,14.06,14.06,0.0,False,0
KULR,2025-06-30,2026-07-06,0.9089,0.9,7.13,3.92,-45.02,False,254
LUNG,2025-10-31,2026-07-06,0.9228,0.9,2.0,1.48,-26.0,False,167
NEON,2025-09-04,2026-07-06,0.9091,0.9,6.16,0.99,-83.93,False,208
NGNE,2024-11-20,2026-07-06,0.9093,0.9,15.33,32.56,112.39,False,403
OM,2025-04-14,2026-07-06,0.9126,0.9,11.06,5.08,-54.07,False,306
PNBK,2026-03-20,2026-07-06,0.9604,0.9,1.42,1.24,-12.68,False,72
QXO,2024-07-08,2026-07-06,1.0,0.9,49.09,15.81,-67.79,False,499
QXO,2024-12-04,2026-07-06,0.923,0.9,17.44,15.81,-9.35,False,394
QXO,2025-03-24,2026-07-06,0.9248,0.9,13.8,15.81,14.57,False,321
QXO,2025-05-08,2026-07-06,0.9228,0.9,13.89,15.81,13.82,False,289
QXO,2025-06-09,2026-07-06,0.9132,0.9,20.13,15.81,-21.46,False,268
QXO,2025-07-09,2026-07-06,0.9083,0.9,22.03,15.81,-28.23,False,248
RR,2024-12-17,2025-01-06,0.9535,0.9,1.23,4.92,300.0,True,12
RR,2025-01-22,2026-07-06,0.9604,0.9,3.23,2.09,-35.29,False,363
SATL,2025-11-05,2026-04-06,0.9125,0.9,1.75,7.0,300.0,True,102
SPWR,2024-07-01,2026-07-06,0.92,0.9,1.48,0.6,-59.46,False,503
TEAD,2026-02-18,2026-07-06,0.987,0.9,0.805,0.899,11.68,False,94
TNXP,2025-01-15,2026-07-06,0.9044,0.9,23.0,12.71,-44.74,False,367
TRDA,2026-06-04,2026-07-06,0.921,0.9,7.0,7.53,7.57,False,20
UPB,2026-02-26,2026-07-06,0.9847,0.9,7.9,7.4,-6.33,False,88
